id_falta_judicial,Edad_inf,fecha,departamento_boleta,departamento_nacimiento,id_falta,id_sexo,id_etnia,id_conyugal,id_alfabetismo,id_escolaridad,id_area,id_ebriedad,id_ocupacion,id_municipio_boleta
1,32.0,2023-01-01,1,1,3,1,2,2,1,4,1,1,6111,102
2,32.0,2023-01-01,1,1,4,1,2,2,1,4,1,1,6111,102
3,24.0,2023-01-01,1,1,3,1,2,1,1,4,1,1,9712,102
4,24.0,2023-01-01,1,1,4,1,2,1,1,4,1,1,9712,102
5,35.0,2023-01-01,1,1,5,1,2,1,1,2,2,1,5249,102
6,30.0,2023-01-01,1,1,3,1,2,1,1,4,2,1,9712,106
7,28.0,2023-01-01,1,1,3,1,2,1,1,5,2,1,2211,102
8,54.0,2023-01-01,1,1,3,1,2,2,1,3,2,1,7126,102
9,23.0,2023-01-01,1,1,5,1,2,1,1,3,1,1,9621,102
10,30.0,2023-01-01,1,1,5,1,2,1,1,4,2,1,3422,102
11,18.0,2023-01-01,1,1,3,1,2,1,1,3,2,1,,102
12,21.0,2023-01-01,2,2,3,1,2,1,1,3,2,1,9621,102
13,47.0,2023-01-01,3,3,3,1,1,1,1,3,1,1,7231,103
14,32.0,2023-01-01,1,1,3,1,3,1,1,3,1,1,8322,103
15,38.0,2023-01-01,1,1,3,1,3,1,1,3,1,1,6111,103
16,25.0,2023-01-01,4,4,3,1,3,1,1,3,1,1,6111,103
17,23.0,2023-01-01,1,1,3,1,3,1,1,3,1,1,6111,103
18,25.0,2023-01-01,1,1,3,1,3,1,1,3,1,1,5249,103
19,29.0,2023-01-01,1,1,3,1,3,1,1,3,1,1,5249,103
20,27.0,2023-01-01,3,3,3,1,1,2,1,3,1,1,5249,103
21,52.0,2023-01-01,5,5,3,1,1,2,1,3,1,1,5249,103
22,40.0,2023-01-01,1,1,3,1,3,1,1,4,1,1,4223,103
23,20.0,2023-01-01,1,1,3,1,3,1,1,7,1,1,9712,103
24,26.0,2023-01-01,2,2,3,1,1,1,1,3,1,1,5249,103
25,23.0,2023-01-01,1,1,3,1,1,1,1,3,1,1,,103
26,36.0,2023-01-01,1,1,4,2,3,1,1,4,1,1,,103
27,35.0,2023-01-01,1,1,4,2,2,2,1,3,1,1,9711,103
28,37.0,2023-01-01,1,1,5,1,3,2,1,3,1,1,8322,103
29,35.0,2023-01-01,6,6,5,1,3,1,1,3,1,1,7536,103
30,27.0,2023-01-01,1,1,5,1,3,1,1,4,1,1,5414,103
31,45.0,2023-01-01,1,1,5,1,3,2,1,4,1,1,7231,103
32,37.0,2023-01-01,1,1,3,1,2,2,1,3,1,1,5121,105
33,37.0,2023-01-01,1,1,4,1,2,2,1,3,1,1,5131,105
