id,delito
1,Abandono Por Estado Afectivo
2,"Abandono Colectivo De Funciones, Cargos O Empleos"
3,Abandono De Cargo
4,Abandono De Ninos Y De Personas Desvalidas
5,Aborto Preterintencional
6,Aborto Agravado
7,Aborto Con O Sin Consentimiento
8,Aborto Calificado
9,Aborto Procurado
10,Abuso Contra Particulares
11,Abuso De Autoridad
12,Actividades Contra La Seguridad Interior De La Nacion
15,Acusacion Y Denuncia Falsas
17,Adquisicion De Equipos Terminales Moviles De Dudosa Procedencia
18,Agresion
21,Agrupaciones Ilegales De Gente Armada
22,Allanamiento
23,Allanamiento Agravado
24,Allanamiento Ilegal
25,Alteracion De Linderos
26,Alteracion De Equipos Terminales Moviles
27,Alteracion Maliciosa De Numero De Origen
28,Alteracion O Destruccion De Informacion En Archivos
29,Alzamiento De Bienes
30,Amenazas
31,Anticipacion De Funciones Publicas
32,Aprehension Ilegal
33,Apropiacion Indebida De Tributos
34,Apropiacion Irregular
35,Apologia Del Delito
36,Apropiacion Y Retencion Indebidas
37,Asesinato
38,Asistencia (Casa De Juegos)
39,Asociacion Ilegal De Gente Armada
40,Asociacion Ilicita
41,Asociaciones Delictivas
42,Atentado
43,Atentado Contra Altos Funcionarios
44,Atentado Contra El Patrimonio Natural Y Cultural De La Nacion
45,"Atentado Contra La Seguridad De Los Transportes, Maritimos, Fluviales O Aereos"
46,Atentado Contra La Seguridad De Servicios De Utilidad Publica
47,Atentado Contra Los Servicios De Telecomunicaciones
48,Atentado Contra Otros Medios De Transporte
49,Calumnia
50,Cambio Del Uso De La Tierra Sin Autorizacion
51,Casos Especiales De Contrabando Aduanero
52,Casos Especiales De Defraudacion Aduanera
53,Casos Especiales De Estafa
54,Casos Especiales De Defraudacion Tributaria
55,Celebracion Ilegal De Matrimonios
56,Chantaje
57,Coaccion
58,Coaccion Contra La Libertad Politica
59,Cobro Indebido
60,Cohecho Activo
61,Cohecho Pasivo
62,Colocacion Ilicita De Rotulos
63,Colusion
64,"Comercializacion De Equipos Terminales Moviles Denunciados Como Robados, Hurtados, Extraviados O Alterados"
65,Comercializacion De Vehiculos Y Similares Robados En El Extranjero O En Territorio Nacional
66,"Comercio, Trafico Y Almacenamiento Ilicito"
67,Competencia Desleal
68,Comercializacion De Datos Personales
69,Comercializacion De Equipos Terminales Moviles Por Personas Sin Registro
72,Conspiracion Mediante Equipos Terminales Moviles
73,Contagio Venereo
74,Contra El Patrimonio Nacional Forestal Cometidos Por Autoridades
75,Contrabando En El Ramo De Tabacos
76,Concusion
77,Conspiracion
78,Consumo Ilicito De Bebidas Alcoholicas O Fermentadas
80,Contaminacion
81,Contaminacion Industrial
82,Contra Los Recursos Forestales
83,Contrabando Aduanero
84,"Contrabando En El Ramo De Alcoholes, Bebidas Alcoholicas Y Fermentadas"
85,Contravencion De Medidas Sanitarias
86,Cooperacion En La Evasion
88,Dano
89,Dano Agravado
90,Portacion De Un Arma De Fuego Sin La Licencia Correspondiente
91,Defraudacion Aduanera
92,Defraudacion En Consumos
93,Defraudacion Tributaria
94,"Defraudacion En El Ramo De Alcoholes, Bebidas Alcoholicas Y Fermentadas"
95,Defraudacion En El Ramo De Tabacos
96,Delito Cambiario
97,Delito Contra El Patrimonio Cultural De La Nacion
98,Intermediacion Financiera
99,Delito Economico Especial (Derogado Por El Codigo Penal)
100,Delito Por Dolo O Culpa (Delito Deportivo)
101,Delitos (Ley General De Caza)
102,Demolicion Ilicita
103,Denegacion De Justicia
104,Deposito Ilegal De Armas De Fuego De Uso Civil Y/O Deportivas
105,Uso Ilegal De Uniformes O Insignias
106,Depredacion De Bienes Culturales
107,Desobediencia
108,Cercenamiento De Moneda
109,Desorden Publico
110,Desprestigio Comercial
111,Destruccion De Registros Informaticos
112,Desacato A Los Presidentes De Los Organismos Del Estado
113,Desacato De Autoridad
114,Desaparicion Forzada
115,Detencion Irregular
116,Detenciones Ilegales
117,Difamacion
118,Discriminacion
119,Disparo De Arma De Fuego
120,Disparos Sin Causa Justificada
121,"Distribucion Y Comercializacion De Medicamentos Falsificados, Productos Farmaceuticos Falsificados, Dispositivos Medicos Y Material Medico"
122,Doble Representacion
123,Ejecucion Extrajudicial
124,Elaboracion Peligrosa De Sustancias Alimenticias O Terapeuticas
125,Emision Y Circulacion De Moneda
126,"Emisiones Indebidas (Monedas, Billetes O Titulos)"
128,Encubrimiento Impropio
129,Encubrimiento Personal
130,Encubrimiento Propio
131,Encubrimiento Real
132,Enriquecimiento Ilicito
133,Enriquecimiento Ilicito De Particulares
134,Entrega Indebida De Un Menor
135,Envenenamiento De Agua O De Sustancia Alimenticia O Medicinal
136,Equiparacion De Documentos
137,Estafa De Fluidos
138,Estafa En La Entrega De Bienes
139,Estafa Mediante Cheque
140,Estafa Mediante Informaciones Contables
141,Estafa Propia
142,Estrago
143,Especulacion
144,Evasion
145,Evasion Culposa
146,Exacciones Intimidatorias
149,Expedicion De Moneda Falsa O Alterada
150,Expedicion De Moneda Falsa Recibida De Buena Fe
151,Expendio Irregular De Medicamentos
152,Explotacion Ilegal De Recursos Naturales
153,Alteracion (Receta Medica)
154,Extorsion
156,Exportacion Ilegal De Armas De Fuego
157,Exportacion Ilegal De Municiones Para Armas De Fuego
158,Extraccion De Documentos Historicos
159,Fabricacion De Armas De Fuego Hechizas O Artesanales
160,Fabricacion Ilegal De Municiones
161,Fabricacion Y Tenencia De Materiales Explosivos
162,Fabricacion De Moneda Falsa
163,Fabricacion O Transformacion
164,Facilitacion De Medios
165,Falsedad En Certificado
166,Falsedad Ideologica
167,Falsedad Material
168,Falsificacion De Documentos Privados
169,Falsificacion De Placas Y Distintivos Para Vehiculos
170,"Falsificacion De Sellos, Papel Sellado Y Timbres"
171,Falsificacion De Billetes De Loteria
172,Falso Testimonio
173,Falsa Acusacion Por Delito Privado
174,Falsedad En Declaracion Jurada Patrimonial
175,Falsificacion De Documentos Para El Uso De Incentivos Forestales
177,Fraude
178,Homicidio
179,Homicidio Cometido En Estado De Emocion Violenta
180,Homicidio Culposo
181,Homicidio Preterintencional
182,Homicidio En Rina Tumultuaria
183,Hurto
184,Hurto Agravado
185,Hurto De Fluidos
186,Hurto De Uso
187,Hurto Impropio
188,Hurto O Robo Sacrilegos
189,Hurto Y Robo De Bienes Arqueologicos
190,Hurto Y Robo De Tesoros Nacionales
191,Importacion Ilegal De Armas
192,Importacion Ilegal De Municiones
193,Importacion Ilegal De Municiones Para Armas De Fuego (Derogado Por El Dto. 15-2009)
194,Incendio
195,Incendio Agravado
196,Incendio Forestal
197,Incendio Y Estrago Culposo
198,Incesto Agravado
199,Incitacion Publica
200,Incumplimiento De Deberes
201,Financiamiento Electoral
202,Incumplimiento De Deberes De Asistencia
203,Incumplimiento De Pago
204,Incumplimiento Del Deber De Presentar Declaracion Jurada Patrimonial
205,Incumplimiento Del Plan De Manejo Forestal Como Delito
207,Induccion O Ayuda Al Suicidio
208,Induccion Al Uso De Estupefacientes
209,Infanticidio
210,Infraccion De Privilegio
212,Ingreso De Equipos Terminales Moviles A Centros De Privacion De Libertad
214,Ingreso Ilegal De Personas
215,Inhumaciones Y Exhumaciones Ilegales
216,Injuria
217,Instigacion A Delinquir
218,Instigacion Al Genocidio
219,Intimidacion Publica
220,Interrupcion O Entorpecimiento De Comunicaciones
221,Intimidacion Publica Agravada
222,Introduccion De Moneda Falsa O Alterada
223,Investigaciones O Excavaciones Ilicitas
224,Juegos Ilicitos
225,Lavado De Dinero U Otros Activos
226,Lesion En Rina
227,Lesiones Culposas
228,Espionaje Agravado
229,Lesiones Graves
230,Lesiones Gravisimas
231,Lesiones Leves
232,Lesiones Especificas
233,Loterias Y Rifas Ilicitas
235,Malversacion
236,Manipulacion De Informacion
238,Modificaciones Ilicitas De Bienes Culturales
239,Modificacion Ilegal De Armas De Fuego
240,Monopolio
241,Motin De Presos
244,Negociaciones Usurarias
245,Nombramientos Ilegales
246,Obstaculizacion A La Accion Penal
247,Obstruccion De Justicia
248,Obstruccion Extorsiva De Transito
249,Ocultacion De Impedimento
250,Omision De Auxilio
251,Omision De Denuncia
252,Parricidio
253,Patrocinio Infiel
254,Peculado
255,Peculado Por Sustraccion
256,Peculado Por Uso
257,Peculado Culposo
258,Perjurio
