id,nombre
1,Guatemalteca
2,Salvadorena
3,Hondurena
4,Nicaraguense
5,Costaricense
6,Panamena
7,Mexicana
8,Estadounidense
9,Ecuatoriana
10,Alemana
11,Colombiana
12,Indu
13,Argentina
14,Britanica
15,Canadiense
16,China
17,Cubano
18,Etiope
19,Haitiana
20,Japonesa
21,Peruana
22,Taiwanesa
23,Coreana
24,Sirio
25,Rusa
26,Suiza
27,Francoguayanes
28,Dominicana
29,Egipcia
30,Espanola
31,Guyanes
32,Holandesa
33,Italiana
34,Chilena
35,Camerunesa
36,Belicena
37,Venezolana
38,Nigeriana
39,Frances
40,Paquistani
41,Brasilena
42,Israeli
99,Ignorada
