id,men_may,fecha,id_departamento,id_sexo,id_nacionalidad,id_involucramiento,id_delito,id_capitulo,id_tipo_fallo,id_titulo,id_tipo_ley
1,True,2023-01-01,12,1,1,8,0,0,1,0,0
2,True,2023-01-01,23,1,1,8,0,0,1,0,0
3,True,2023-01-01,23,1,1,8,0,0,3,0,0
4,True,2023-01-01,12,1,1,8,0,0,1,0,0
5,True,2023-01-01,23,1,1,8,0,0,1,0,0
6,True,2023-01-01,23,1,99,8,0,0,3,0,0
7,True,2023-01-01,23,1,1,8,0,0,1,0,0
8,True,2023-01-01,23,1,1,8,0,0,1,0,0
9,True,2023-01-01,12,1,1,8,19,6,3,3,1
10,True,2023-01-01,12,1,1,8,5,1,1,0,1
11,True,2023-01-01,12,1,1,8,0,0,1,0,0
12,True,2023-01-01,20,1,1,8,5,1,3,0,1
13,True,2023-01-01,20,2,1,8,82,15,3,3,1
14,True,2023-01-01,20,2,1,8,82,15,3,3,1
15,True,2023-01-01,12,1,1,8,,3,1,0,1
16,True,2023-01-01,20,1,1,8,,0,3,0,6
17,True,2023-01-01,20,1,1,8,56,12,3,0,4
18,True,2023-01-01,20,2,1,8,82,15,3,3,1
19,True,2023-01-01,20,2,1,8,82,15,3,3,1
20,True,2023-01-01,20,1,1,8,90,0,3,0,6
21,True,2023-01-01,20,1,1,8,19,6,3,3,1
22,True,2023-01-01,20,1,1,8,82,15,3,3,1
23,True,2023-01-01,20,1,1,8,0,0,3,0,0
24,True,2023-01-01,20,2,1,8,82,15,3,3,1
25,True,2023-01-01,20,1,1,8,82,15,3,3,1
26,True,2023-01-01,20,1,1,8,1,1,3,0,1
27,True,2023-01-01,20,1,1,8,0,0,1,0,0
28,True,2023-01-01,20,1,1,8,7,2,3,0,1
29,True,2023-01-01,12,1,1,8,19,6,3,3,1
30,True,2023-01-01,20,1,1,8,17,5,3,3,1
31,True,2023-01-01,20,1,1,8,56,12,3,0,4
32,True,2023-01-01,20,2,1,8,82,15,3,3,1
33,True,2023-01-01,16,1,1,8,0,0,3,0,0
34,True,2023-01-01,16,1,1,8,0,0,3,0,0
35,True,2023-01-01,16,1,1,8,0,0,3,0,0
36,True,2023-01-01,16,1,1,8,0,0,3,0,0
37,True,2023-01-01,16,1,1,8,0,0,3,0,0
38,True,2023-01-01,16,1,1,8,0,0,3,0,0
39,True,2023-01-01,16,1,1,8,0,0,3,0,0
40,True,2023-01-01,16,1,1,8,0,0,3,0,0
41,True,2023-01-01,16,1,1,8,0,0,3,0,0
42,True,2023-01-01,16,1,1,8,0,0,3,0,0
43,True,2023-01-01,5,1,1,8,,0,3,0,6
44,True,2023-01-01,7,1,1,8,47,11,3,0,3
45,True,2023-01-01,12,1,1,8,0,0,1,0,0
46,True,2023-01-01,7,1,1,8,0,0,1,0,0
47,True,2023-01-01,7,1,1,8,0,0,3,0,0
48,True,2023-01-01,7,1,1,8,51,11,3,0,3
49,True,2023-01-01,12,1,1,8,,3,1,0,1
50,True,2023-01-01,7,1,1,8,0,0,3,0,0
51,True,2023-01-01,7,1,1,8,15,4,1,0,1
52,True,2023-01-01,7,1,1,8,47,11,3,0,3
53,True,2023-01-01,12,2,1,8,0,0,3,0,0
54,True,2023-01-01,7,1,1,8,89,23,3,0,7
55,True,2023-01-01,7,1,1,8,1,1,3,0,1
56,True,2023-01-01,7,1,1,8,0,0,3,0,0
57,True,2023-01-01,19,1,1,8,19,6,3,3,1
