id,hora_ocu,zona_ocu,edad_per,fecha,id_departamento,id_municipio,id_area,id_sexo,id_delito,id_g_delito_principal
1,7,9.0,35,2023-01-01,1,1.0,1,1,47,7.0
2,3,1.0,21,2023-01-01,1,1.0,1,1,68,7.0
3,17,18.0,52,2023-01-01,1,1.0,1,1,68,7.0
4,15,,38,2023-01-01,1,105.0,2,1,68,7.0
5,16,,24,2023-01-01,1,106.0,2,1,48,7.0
6,16,,45,2023-01-01,1,106.0,2,1,48,7.0
7,17,,18,2023-01-01,1,106.0,2,2,68,7.0
8,18,18.0,35,2023-01-01,1,1.0,1,1,50,7.0
9,20,,19,2023-01-01,1,107.0,2,1,68,7.0
10,20,,37,2023-01-01,1,105.0,2,1,68,7.0
11,11,17.0,24,2023-01-01,1,1.0,1,1,49,7.0
12,11,15.0,34,2023-01-01,1,1.0,1,1,59,7.0
13,12,16.0,34,2023-01-01,1,1.0,1,1,47,7.0
14,18,,32,2023-01-01,1,102.0,1,1,68,7.0
15,19,5.0,66,2023-01-01,1,1.0,1,1,68,7.0
16,19,,25,2023-01-01,1,103.0,2,1,68,7.0
17,16,11.0,26,2023-01-01,1,1.0,1,1,47,7.0
18,5,,59,2023-01-01,1,115.0,1,1,25,7.0
19,2,12.0,32,2023-01-01,1,1.0,1,1,68,7.0
20,18,7.0,26,2023-01-01,1,1.0,1,1,68,7.0
21,22,12.0,42,2023-01-01,1,1.0,1,1,68,7.0
22,3,,25,2023-01-01,1,115.0,1,1,47,7.0
23,7,,30,2023-01-01,1,115.0,1,1,20,3.0
24,11,,37,2023-01-01,1,115.0,1,1,68,7.0
25,15,,33,2023-01-01,1,117.0,1,1,47,7.0
26,18,,59,2023-01-01,1,116.0,2,1,68,7.0
27,17,,29,2023-01-01,1,117.0,1,1,59,7.0
28,18,,21,2023-01-01,1,116.0,2,1,68,7.0
29,13,,27,2023-01-01,1,115.0,1,1,68,7.0
30,19,,18,2023-01-01,1,110.0,2,1,25,7.0
31,20,,28,2023-01-01,1,115.0,1,1,68,7.0
32,19,,19,2023-01-01,1,108.0,1,1,68,7.0
33,20,,20,2023-01-01,4,22.0,1,1,42,7.0
34,18,,22,2023-01-01,4,2211.0,2,1,12,7.0
35,8,,19,2023-01-01,4,2205.0,2,1,47,7.0
36,21,,53,2023-01-01,4,2203.0,2,1,68,7.0
37,14,,35,2023-01-01,4,2.0,2,1,68,7.0
38,2,,65,2023-01-01,4,2.0,2,1,50,7.0
39,2,,32,2023-01-01,4,22.0,2,2,48,7.0
40,2,,33,2023-01-01,4,22.0,2,2,48,7.0
41,21,,35,2023-01-01,18,20.0,2,1,68,7.0
42,0,,47,2023-01-01,18,2007.0,1,1,68,7.0
43,8,,35,2023-01-01,22,1905.0,2,1,68,7.0
44,18,,35,2023-01-01,22,1905.0,2,1,68,7.0
45,12,,25,2023-01-01,22,1907.0,2,1,50,7.0
46,23,,30,2023-01-01,8,5.0,2,1,25,7.0
47,0,,28,2023-01-01,8,505.0,2,1,25,7.0
48,1,,23,2023-01-01,8,506.0,2,1,24,3.0
49,13,,48,2023-01-01,8,511.0,2,1,68,7.0
50,22,,41,2023-01-01,8,5.0,2,1,68,7.0
51,8,,26,2023-01-01,8,5.0,2,1,68,7.0
52,9,,27,2023-01-01,8,5.0,2,1,50,7.0
53,0,,24,2023-01-01,8,509.0,2,1,50,7.0
54,0,,41,2023-01-01,8,509.0,2,2,50,7.0
55,17,,42,2023-01-01,8,504.0,2,1,50,7.0
56,7,,24,2023-01-01,8,511.0,2,1,68,7.0
57,19,,23,2023-01-01,8,509.0,2,1,50,7.0
58,19,,38,2023-01-01,8,5.0,1,1,68,7.0
59,22,,34,2023-01-01,8,5.0,2,1,68,7.0
60,22,,32,2023-01-01,8,513.0,1,1,68,7.0
61,18,,30,2023-01-01,17,606.0,2,1,7,2.0
62,7,,35,2023-01-01,17,601.0,2,1,68,7.0
63,7,,34,2023-01-01,17,601.0,2,1,68,7.0
64,22,,33,2023-01-01,17,602.0,2,1,68,7.0
65,19,,31,2023-01-01,17,602.0,2,1,68,7.0
66,21,,33,2023-01-01,17,611.0,2,1,50,7.0
67,2,,24,2023-01-01,17,602.0,2,1,68,7.0
68,21,,26,2023-01-01,17,601.0,2,1,50,7.0
69,14,,58,2023-01-01,17,608.0,2,1,50,7.0
70,5,,28,2023-01-01,21,1008.0,2,1,25,7.0
71,12,,44,2023-01-01,21,1014.0,2,1,68,7.0
72,17,,24,2023-01-01,21,1011.0,2,1,12,7.0
73,14,,51,2023-01-01,21,1014.0,2,1,68,7.0
74,14,,40,2023-01-01,21,1014.0,2,1,68,7.0
75,17,,27,2023-01-01,21,1011.0,2,1,50,7.0
76,18,,26,2023-01-01,21,1001.0,2,1,50,7.0
77,8,,36,2023-01-01,9,11.0,1,1,47,7.0
78,0,,23,2023-01-01,9,1106.0,2,1,68,7.0
79,1,,41,2023-01-01,9,1106.0,2,1,68,7.0
80,1,,18,2023-01-01,9,11.0,1,1,68,7.0
81,16,,22,2023-01-01,9,11.0,2,1,68,7.0
